model,polyphony,dynamics,midiset,audioset,piece_id,p_frame,r_frame,f_frame,p_note_on,r_note_on,f_note_on,p_note_on_off,r_note_on_off,f_note_on_off,p_note_on_vel,r_note_on_vel,f_note_on_vel,p_note_on_off_vel,r_note_on_off_vel,f_note_on_off_vel
OaF,1,0,random,disklavier,RANDOM_P01_D0,0.8902869125917453,0.7867250673854448,0.835308321781514,0.7777777777777778,0.9166666666666666,0.8415300546448087,0.5757575757575758,0.6785714285714286,0.6229508196721312,0.1818181818181818,0.2142857142857142,0.1967213114754098,0.1414141414141414,0.1666666666666666,0.1530054644808743
OaF,1,1,random,disklavier,RANDOM_P01_D1,0.8465264893836323,0.6905742873959472,0.7606390368140774,0.7835051546391752,0.8941176470588236,0.8351648351648352,0.5360824742268041,0.611764705882353,0.5714285714285715,0.4845360824742268,0.5529411764705883,0.5164835164835164,0.3505154639175257,0.4,0.3736263736263736
OaF,1,2,random,disklavier,RANDOM_P01_D2,0.7414824447334201,0.7192834917164241,0.730214291812516,0.7021276595744681,0.8354430379746836,0.7630057803468209,0.4468085106382978,0.5316455696202531,0.4855491329479768,0.4893617021276595,0.5822784810126582,0.5317919075144508,0.2978723404255319,0.3544303797468354,0.3236994219653179
OaF,2,0,random,disklavier,RANDOM_P02_D0,0.7932903520282992,0.5856041780735375,0.6738066392052339,0.8103448275862069,0.8597560975609756,0.8343195266272189,0.4540229885057471,0.4817073170731707,0.4674556213017751,0.1724137931034483,0.1829268292682926,0.1775147928994083,0.0804597701149425,0.0853658536585365,0.0828402366863905
OaF,2,1,random,disklavier,RANDOM_P02_D1,0.8715259219668626,0.5487779226788945,0.6734815044270632,0.845679012345679,0.8106508875739645,0.8277945619335346,0.4444444444444444,0.4260355029585799,0.4350453172205438,0.4691358024691358,0.4497041420118343,0.459214501510574,0.2901234567901234,0.2781065088757396,0.2839879154078549
OaF,2,2,random,disklavier,RANDOM_P02_D2,0.8027530828792658,0.589181225005262,0.679582422918184,0.8733333333333333,0.81875,0.8451612903225806,0.4733333333333333,0.44375,0.4580645161290322,0.6466666666666666,0.60625,0.6258064516129032,0.34,0.31875,0.3290322580645161
OaF,3,0,random,disklavier,RANDOM_P03_D0,0.822818898261455,0.5834597023308059,0.6827689324854997,0.8861788617886179,0.8650793650793651,0.8755020080321285,0.4024390243902439,0.3928571428571428,0.3975903614457831,0.1910569105691057,0.1865079365079365,0.1887550200803213,0.089430894308943,0.0873015873015873,0.0883534136546184
OaF,3,1,random,disklavier,RANDOM_P03_D1,0.8196062675773403,0.5151804253886301,0.6326780268440186,0.8333333333333334,0.813953488372093,0.8235294117647058,0.3412698412698413,0.3333333333333333,0.3372549019607843,0.5238095238095238,0.5116279069767442,0.5176470588235295,0.2222222222222222,0.2170542635658914,0.2196078431372548
OaF,3,2,random,disklavier,RANDOM_P03_D2,0.8758823828144838,0.4838954042982997,0.6233892975258887,0.9020618556701032,0.7322175732217573,0.8083140877598152,0.3969072164948453,0.3221757322175732,0.3556581986143186,0.6443298969072165,0.5230125523012552,0.5773672055427251,0.2989690721649484,0.2426778242677824,0.2678983833718245
OaF,4,0,random,disklavier,RANDOM_P04_D0,0.7926657677199976,0.5690086905287965,0.6624692235138478,0.8545454545454545,0.834319526627219,0.844311377245509,0.3212121212121212,0.3136094674556213,0.3173652694610778,0.1575757575757575,0.1538461538461538,0.155688622754491,0.0696969696969697,0.0680473372781065,0.0688622754491018
OaF,4,1,random,disklavier,RANDOM_P04_D1,0.8577781044430561,0.4910586552217453,0.6245668490694781,0.886435331230284,0.8192419825072886,0.8515151515151516,0.334384858044164,0.3090379008746355,0.3212121212121212,0.526813880126183,0.4868804664723032,0.5060606060606061,0.2082018927444795,0.1924198250728863,0.2
OaF,4,2,random,disklavier,RANDOM_P04_D2,0.8029042615294805,0.463050248295598,0.5873592056798164,0.918032786885246,0.6934984520123839,0.7901234567901234,0.4098360655737705,0.3095975232198142,0.3527336860670194,0.6598360655737705,0.4984520123839009,0.5679012345679012,0.3155737704918033,0.2383900928792569,0.271604938271605
OaF,5,0,random,disklavier,RANDOM_P05_D0,0.7991825748890994,0.5399834980719687,0.6444987087114248,0.8774509803921569,0.850356294536817,0.8636911942098915,0.2794117647058823,0.2707838479809976,0.2750301568154403,0.1666666666666666,0.1615201900237529,0.1640530759951749,0.0661764705882353,0.0641330166270783,0.0651387213510253
OaF,5,1,random,disklavier,RANDOM_P05_D1,0.8065154194263794,0.4531081627155172,0.5802348020138208,0.8730569948186528,0.7910798122065728,0.8300492610837439,0.3005181347150259,0.272300469483568,0.2857142857142857,0.4870466321243523,0.4413145539906103,0.4630541871921182,0.1787564766839378,0.1619718309859155,0.1699507389162561
OaF,5,2,random,disklavier,RANDOM_P05_D2,0.8167240127529278,0.4356604027749713,0.5682190035907628,0.9278350515463918,0.6650246305418719,0.7747489239598279,0.3848797250859107,0.2758620689655172,0.321377331420373,0.6632302405498282,0.4753694581280788,0.5538020086083213,0.3058419243986254,0.2192118226600985,0.2553802008608321
OaF,6,0,random,disklavier,RANDOM_P06_D0,0.7657874663776145,0.5351681957186545,0.630036992997754,0.8694779116465864,0.8506876227897839,0.8599801390268124,0.2449799196787148,0.2396856581532416,0.2423038728897715,0.1827309236947791,0.1787819253438114,0.1807348560079444,0.0502008032128514,0.0491159135559921,0.0496524329692154
OaF,6,1,random,disklavier,RANDOM_P06_D1,0.7743398306358671,0.4334782608695652,0.5558113187188664,0.8691796008869179,0.7747035573122529,0.819226750261233,0.2505543237250554,0.2233201581027667,0.2361546499477533,0.4944567627494456,0.4407114624505929,0.4660397074190177,0.1618625277161862,0.1442687747035573,0.1525600835945663
OaF,6,2,random,disklavier,RANDOM_P06_D2,0.7995415180845644,0.3963550654488825,0.5299828347919071,0.8968481375358166,0.6374745417515275,0.7452380952380951,0.326647564469914,0.2321792260692464,0.2714285714285714,0.6504297994269341,0.4623217922606925,0.5404761904761904,0.2521489971346705,0.1792260692464358,0.2095238095238095
OaF,7,0,random,disklavier,RANDOM_P07_D0,0.7332715477293791,0.5234188938872718,0.610823747394426,0.8632478632478633,0.8430717863105175,0.8530405405405405,0.2119658119658119,0.2070116861435726,0.2094594594594594,0.1846153846153846,0.1803005008347245,0.1824324324324324,0.0581196581196581,0.0567612687813021,0.0574324324324324
OaF,7,1,random,disklavier,RANDOM_P07_D1,0.7860977415771936,0.4084596794555795,0.5375869353651879,0.8519924098671727,0.7433774834437086,0.7939876215738285,0.2277039848197343,0.1986754966887417,0.2122015915119363,0.4459203036053131,0.3890728476821192,0.4155614500442087,0.127134724857685,0.1109271523178807,0.1184792219274977
OaF,7,2,random,disklavier,RANDOM_P07_D2,0.7804620496046566,0.3643545070879775,0.4967867798944227,0.8905852417302799,0.6044905008635578,0.7201646090534979,0.3078880407124681,0.2089810017271157,0.2489711934156379,0.6564885496183206,0.4455958549222797,0.5308641975308641,0.2188295165394402,0.1485319516407599,0.1769547325102881
OaF,8,0,random,disklavier,RANDOM_P08_D0,0.7079387332030842,0.4996210845402492,0.58581134031433,0.861236802413273,0.8299418604651163,0.8452997779422651,0.196078431372549,0.188953488372093,0.1924500370096225,0.1779788838612368,0.1715116279069767,0.1746854182087343,0.0497737556561085,0.0479651162790697,0.0488527017024426
OaF,8,1,random,disklavier,RANDOM_P08_D1,0.741241306915103,0.4160581637591801,0.5329640337221762,0.864406779661017,0.7285714285714285,0.7906976744186046,0.2050847457627118,0.1728571428571428,0.1875968992248062,0.4915254237288136,0.4142857142857143,0.4496124031007752,0.1254237288135593,0.1057142857142857,0.1147286821705426
OaF,8,2,random,disklavier,RANDOM_P08_D2,0.7285552927135946,0.3597049632256232,0.481621842464885,0.9077669902912622,0.56071964017991,0.6932344763670066,0.3228155339805825,0.1994002998500749,0.2465245597775718,0.6432038834951457,0.3973013493253373,0.4911955514365153,0.2305825242718446,0.1424287856071964,0.1760889712696941
