piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
BuiJL06M,0.6158022789878855,0.574489815807974,0.580011042816533,0.5876276740209275,0.46775102163796334,0.7227092164060521,0.1588082622897963,0.7481519059453953,0.6881515339195002
ChenGuang03M,0.49824352233029184,0.613070820831734,0.555260939748785,0.6668284605404583,0.4150408154600574,0.6921253313655398,0.1159942008687397,0.6083893544863624,0.684856730783985
ChenGuang06M,0.7430006259512363,0.7290408461608806,0.7993810290944171,0.5178680299435001,0.4424039691024527,0.8075670538611223,0.40290192717299883,0.7572211830268168,0.4830905514604234
Chon08M,0.4591519382638748,0.6465903312411526,0.3176855840049124,0.4533960881814217,0.35400259826476266,0.6730877602632691,0.2409035013560585,0.8132400377916993,0.3023971490808903
Huang10M,0.43288720157235827,0.27371383148247064,0.45688546835475463,0.5542404671644452,0.40150230508725,0.7012910659922368,0.05297685875752758,0.6557066060010563,0.6082940019572616
Huang18M,0.480122510665861,0.5805702468254306,0.5147583927819951,0.6650126102960248,0.6101695848546681,0.8459846075615997,0.33340146445173274,0.5983852265088759,0.4405930587119078
KOLESO06M_18-1,0.4091842481396362,0.24859830729534724,0.4820648122161683,0.5571999127934949,0.2862035119692309,0.6751417200235127,0.17093371124766524,0.6524363638574947,0.6029968478647783
KOLESO06M_18-4,0.7125823534629567,0.7239574896320555,0.23654991835682168,0.5221110232104934,0.3526513824780236,0.6146389635506982,0.2699978345246162,0.7037921674855759,0.43914265700904126
KabuliL10M,0.4033156298062553,0.5066609244203456,0.4102090682102518,0.38234586368672946,0.48316312205110995,0.9225876527949858,0.3268677766343818,0.7809195668169889,0.783852161790828
KaszoS16M,0.675716623992244,0.3681395451574305,0.37729828802002113,0.08049148261059196,-0.03805293461676837,0.8352670423586706,0.1406911058468847,0.3653258386265201,0.40193747904942556
LeungM06M,0.6207096517936471,0.5599726207536604,0.4249696447748897,0.4725021925886602,0.2764522888843671,0.43819327746420306,0.17844170066349876,0.7049251187493403,0.26828868589203325
LeungR02M,0.6209300068301018,0.8048658827812198,0.6498156471140598,0.5917738425134758,0.5082394471093807,0.6374434973669664,0.1386139028659091,0.6898545175454891,0.6818981801155777
Levitsky05M,0.5292633016018369,0.4000510620309338,0.49406445310925867,0.6464883922756355,0.5257826280712073,0.7369972164802133,0.1371065351212474,0.7382952560305395,0.3887980792488388
Lin11M,0.4792509258922836,0.31658792923787477,0.49401595396963865,0.5849152866184917,0.30424305834397997,0.8398160589925566,0.3453964945238031,0.7325229235702297,0.47003203069401617
LuoJ09M,0.8429791798081407,0.5679459962233407,0.8110399887323618,0.6363549106300587,0.4830181416427985,0.7890062223307389,0.2971034358326436,0.7670250638445603,0.7574952575883512
MunA12M,0.7717860617821073,0.6291953742542676,0.7370043556817075,0.7239109701806962,0.7238821427968885,0.9356161079476641,0.47051398912958164,0.4028017462584787,0.5814706051275733
Nikiforov14M,0.5664239963251781,0.7347081911960746,0.536935339346718,0.13376821140273124,0.7436523447969662,0.78784479597261,0.23786769754088932,0.39749647723570253,0.6638126020066882
WongWY08M,0.7218169198624639,0.5160071132386732,0.7054357279934985,0.5732159537752549,0.47445386226377045,0.7571240583644091,0.22457488913577123,0.7709889989613102,0.7707970248899955
YeF11M,0.39606507660373214,0.5055503153699741,0.2976868252526725,0.42394257226206755,0.42405166697043095,0.8648649142871849,0.3737807129965362,0.8917470365354896,0.38724132708091236
ZhangH05M,0.6486314723130412,0.4421854364103583,0.6224253839628567,0.5465343765435735,0.4364335344809833,0.6956144076586904,0.14138256761102583,0.7628225110594362,0.6297415268926604
