piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
Blues_01,0.4015366180391999,0.5053905202394039,0.4498639800998019,0.1506244031646383,-0.0005001099145201,0.590553341807151,0.1455357205673969,0.2142054114340235,0.2150062075452613
Blues_02,0.6041008917274868,0.3801580023602633,0.3623933701011508,0.1652377411255674,0.4311369161638255,0.8989632719112898,-0.5068104610297476,-0.1259634607947721,0.7167142897653583
Blues_03,0.3593841298354627,0.5501636148398353,0.389055630536501,0.1022692698421359,0.1963315868050796,0.5857705980706258,0.1268408603757997,0.3620827847143283,-0.0805113974024932
Blues_04,0.4333516581559638,0.3906841098128145,0.5307933496937041,0.344941493822336,0.1976036894729946,0.6842577256152639,0.2768570930897161,0.4824689253834632,0.4048536136106712
Blues_05,0.5436058293906014,0.6990897450772018,0.6015253824484044,0.2731223503568178,0.2891646880671322,0.9323353778215728,0.9176992095071412,0.9846092523733854,0.5674330812065909
Blues_06,0.5253305389114323,0.5437345903550339,0.5398229809421227,0.2842305163203444,0.2739552099284205,0.3160223859264682,0.1322543913426996,0.5190431321059683,0.3407222900933497
Blues_07,0.9146600657777813,0.5776872719074981,0.0579878103225241,0.1000005537518478,-0.1450985661409556,0.6396611022980524,0.2084154354347606,0.3846172333464515,-0.0582412432245062
Blues_08,0.4809961259421902,0.6819599060794969,0.5323896631754749,0.2600586708312021,0.3812052718852645,0.5081934079184997,0.1716172667092816,0.3659992755767604,0.4350425164997232
Blues_09,0.8573684584986347,0.8258129504341538,0.7245472737337113,0.5605407063799654,0.4067607087498517,0.6155124716803636,0.1562751834423799,0.3194397985106841,0.1119509659335908
Blues_10,0.1727128736582825,0.1443549699541524,0.1172147560635279,0.3352891774244712,0.1701159367694824,0.609614780053714,0.1457644287052058,0.2551954912873246,0.2479704443287436
Classical_01,0.4397032478498974,0.3681224564992853,0.52739229844005,0.3256882623816474,0.3125896483836888,0.7572330307145303,0.1120667538887775,0.212635828950551,0.113241184706562
Classical_02,0.1473469017429662,0.2566757476268375,0.3014870495648052,0.2295124576172517,-0.0658269476849034,0.8182278547566854,0.2591535117520896,0.6015668412373409,0.3381281193915572
Classical_03,0.8677299649149912,0.9521789541704436,0.4172730031644497,0.2540787420533638,0.175317070364651,0.7422755842683821,0.3424665617735868,0.443809594360058,0.1478404263730773
Classical_04,0.2879514375648141,0.7305649721562311,0.3045669104105131,0.2127072636010444,0.4552718916004408,0.7290151667560838,0.1378365924977385,0.3353560476660444,0.4983712965210558
Classical_05,0.4789421395656653,0.3620829673305268,0.476578381893818,0.4884068931800296,0.4263164631393549,0.5955613317288766,0.3134275023168812,0.8402285695560501,0.8565470304557629
