piece_id,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_ioi_corr,acc_ioi_corr,cloud_diameter_corr,cloud_momentum_corr,tensile_strain_corr,dyn_corr
BuiJL06M,0.3134505450977176,0.111697576946986,0.3472182291350513,0.6656761738634359,0.4270750638146649,0.9369791377824565,0.3606562868739444,0.8077018959083787,0.6321550282076701
ChenGuang03M,0.1663026328004903,0.1786770551189517,0.2291786611307142,0.7929923866888693,0.4901322932687507,0.8060839091678794,0.224526137680957,0.6657350425769304,0.6180662565833677
ChenGuang06M,0.7021237448660962,0.4850222786161177,0.7511859977814661,0.6458471866193931,0.4747369400007055,0.7427600256447472,0.4080395965421249,0.746949093773893,0.3170614217531403
Chon08M,0.3017639098612056,0.2988446770544145,0.2047417336185662,0.5011453234964994,0.3626623025357527,0.7818072605302573,0.8515820172456888,0.9684630098262316,0.2763981956497813
Huang10M,0.2362381500686328,0.0745976513084047,0.2461171797383697,0.1884683300608504,0.3404690257696851,0.6827032810489065,0.0503807270045387,0.643240118124121,0.4757446454926071
Huang18M,0.3939514144720561,0.2013622721008143,0.4936697283820666,0.7022521588759189,0.7430289907195756,0.9371707312893098,0.5794315891239087,0.829634194604163,0.3867363376346203
KOLESO06M_18-1,0.4663113586912546,0.1840877159878482,0.4191999118938407,0.7670503992214271,0.4648992883867329,0.8198812331502418,0.2562469270297916,0.6850429923794863,0.6064513508125375
KOLESO06M_18-4,0.4731455756164588,0.3942177649400034,0.3164567701442933,0.6318583521389168,0.3160940933973471,0.7777665472459545,0.4189105616568433,0.767757225938965,0.2814810174369083
KabuliL10M,0.2822686745287658,0.1530249019538131,0.3368902441250445,0.5364527431800074,0.4805314385841759,0.9101255397126374,0.3184808383684313,0.4662947275564458,0.6000226419799964
KaszoS16M,0.6832375129196518,0.2697490592272185,0.357314532690394,0.2083399110214089,0.0087500854898177,0.8503967395698049,0.1563051048849328,0.3657076010064331,0.3041160281570345
LeungM06M,0.3930634008291552,0.3432251600626264,0.2465588558924965,0.4134139773177118,0.2867260171480115,0.4297219129501402,0.1964750846657933,0.1151547071926263,0.2243899830044694
LeungR02M,0.1782819168287374,0.2684277902213777,0.185989694846412,0.7559425963578071,0.5269609845844807,0.8053186854204585,0.2808542291225502,0.7366228978248951,0.4753943906745277
Levitsky05M,0.2890996635428673,0.0898840733188358,0.2353027546180129,0.8308932674977608,0.5297481203198399,0.7770730983555288,0.2724652455463875,0.7178412550395632,0.1923308862295402
Lin11M,0.5093598097850484,0.0847617280402199,0.6090011528778535,0.6215123323690713,0.3448954638639224,0.7795069396612971,0.3360133592133543,0.732546597576891,0.3534434736189687
LuoJ09M,0.6330989187674984,0.1151052027363932,0.6909208922394156,0.4157778558580275,0.4356045953039888,0.6192254296244458,0.2509325106837611,0.6013665993900554,0.622542801396044
MunA12M,0.7606835968226827,0.6934849992927198,0.7261098717248625,0.4727767976676219,0.5680943179830366,0.9105463279091796,0.4804242212220739,0.4041842438943308,0.2465488582257552
Nikiforov14M,0.4860498739986668,0.2087584118330965,0.5665487928438119,0.7230062392672505,0.2000986775819852,0.936017325610968,0.2861178485919108,0.5656593833532573,0.5208392773630435
WongWY08M,0.5142021217868016,0.0933732565436258,0.5563221878685677,0.6501617630338674,0.4424412822075966,0.9024142103731854,0.2873803885806946,0.7523581526606693,0.6239895364069163
YeF11M,0.2839333057556888,0.1780970057025723,0.2111182340136645,0.6320694328451288,0.3795494330469837,0.7914059533624151,0.3584900639219617,0.8683934690481235,0.2981742219159431
ZhangH05M,0.3452143581387468,0.0910606456971672,0.2898556039353592,0.7726040097131899,0.4997856084009309,0.7540009877817694,0.2908663382181656,0.6144494778491012,0.5780660654376565
